Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Nabil Fekir,fr FRA,"MF,FW",30,,10,1049.0,1.0,2.0,0.0,1.0,0.0,2.2,2.3,Real-Betis
Rodri,es ESP,"FW,MF",23,,9,1051.0,0.0,0.0,0.0,0.0,0.0,1.1,1.2,Real-Betis
Claudio Bravo,cl CHI,GK,40,,7,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Betis
Abde Ezzalzouli,ma MAR,FW,21,,6,865.0,1.0,0.0,0.0,1.0,0.0,3.0,0.3,Real-Betis
Luiz Henrique,br BRA,FW,22,,6,616.0,0.0,3.0,0.0,1.0,0.0,1.2,1.6,Real-Betis
Sergi Altimira,es ESP,MF,21,,6,568.0,1.0,0.0,0.0,1.0,0.0,0.2,0.3,Real-Betis
William Carvalho,pt POR,MF,31,,4,680.0,1.0,3.0,0.0,2.0,0.0,0.4,0.7,Real-Betis
Andrés Guardado,mx MEX,MF,36,,4,447.0,0.0,0.0,0.0,2.0,0.0,0.1,0.2,Real-Betis
Borja Iglesias,es ESP,FW,30,,4,408.0,0.0,1.0,0.0,2.0,0.0,0.6,0.9,Real-Betis
Luiz Felipe,it ITA,DF,26,,4,360.0,0.0,0.0,0.0,1.0,0.0,0.1,0.2,Real-Betis
Ezequiel Ávila,ar ARG,FW,29,,4,298.0,1.0,0.0,0.0,4.0,1.0,0.7,0.1,Real-Betis
Fran Vieites,es ESP,GK,24,,3,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Betis
Marc Bartra,es ESP,DF,32,,3,225.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Real-Betis
Cédric Bakambu,cd COD,FW,32,,2,194.0,0.0,0.0,0.0,1.0,0.0,0.4,0.3,Real-Betis
Ricardo Visus,es ESP,DF,22,,1,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Betis
Juan Cruz,es ESP,FW,23,,0,76.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Real-Betis
Pablo Busto,es ESP,DF,17,,0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Real-Betis
Paul Akouokou,ci CIV,MF,25,,0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Betis
Enrique,es ESP,MF,19,,0,,,,,,,,,Real-Betis
Guilherme Fernandes,pt POR,GK,22,,0,,,,,,,,,Real-Betis
Daniel Guerrero,es ESP,MF,18,,0,,,,,,,,,Real-Betis
Nobel Mendy,fr FRA,DF,18,,0,,,,,,,,,Real-Betis
Xavi Pleguezuelo,es ESP,DF,20,,0,,,,,,,,,Real-Betis
Squad Total,,,,,418,3420.0,46.0,31.0,2.0,87.0,3.0,43.9,32.7,Real-Betis
Filip Jørgensen,dk DEN,GK,21,36,36,3240.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Villarreal
Alex Baena,es ESP,"MF,FW",22,34,33,2579.0,2.0,14.0,0.0,11.0,1.0,7.9,9.2,Villarreal
Alexander Sørloth,no NOR,FW,27,34,30,2489.0,23.0,6.0,0.0,3.0,0.0,12.3,4.4,Villarreal
Daniel Parejo,es ESP,MF,34,33,29,2580.0,3.0,5.0,3.0,4.0,0.0,2.9,3.0,Villarreal
Gerard Moreno,es ESP,FW,31,30,28,2215.0,10.0,6.0,2.0,0.0,0.0,9.7,5.3,Villarreal
Raúl Albiol,es ESP,DF,37,26,24,2031.0,0.0,1.0,0.0,6.0,0.0,0.4,0.8,Villarreal
Jorge Cuenca,es ESP,DF,23,29,21,1963.0,3.0,1.0,0.0,7.0,0.0,1.2,0.2,Villarreal
Santi Comesaña,es ESP,MF,26,27,20,1653.0,2.0,0.0,0.0,8.0,2.0,1.9,2.0,Villarreal
Ilias Akhomach,ma MAR,"MF,FW",19,31,17,1511.0,2.0,2.0,0.0,4.0,0.0,3.2,2.6,Villarreal
Alberto Moreno,es ESP,DF,31,27,17,1484.0,2.0,2.0,0.0,5.0,2.0,0.7,1.6,Villarreal
Kiko Femenía,es ESP,DF,32,23,16,1583.0,0.0,0.0,0.0,8.0,1.0,0.0,0.6,Villarreal
Étienne Capoue,fr FRA,MF,35,32,15,1455.0,1.0,1.0,0.0,8.0,0.0,1.0,0.6,Villarreal
Yerson Mosquera,co COL,DF,22,16,14,1229.0,2.0,1.0,0.0,4.0,0.0,1.6,0.3,Villarreal
Alfonso Pedraza,es ESP,DF,27,19,14,1116.0,1.0,3.0,0.0,4.0,1.0,0.6,3.6,Villarreal
Aïssa Mandi,dz ALG,DF,31,16,12,1113.0,1.0,0.0,0.0,3.0,0.0,0.6,0.7,Villarreal
Juan Foyth,ar ARG,DF,25,12,12,1062.0,1.0,1.0,0.0,1.0,0.0,0.4,0.9,Villarreal
Francis Coquelin,fr FRA,MF,32,17,10,910.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,Villarreal
Adrià Altimira,es ESP,"DF,MF",22,11,10,775.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,Villarreal
Gonçalo Guedes,pt POR,"FW,MF",26,17,9,951.0,3.0,2.0,0.0,0.0,0.0,2.3,1.5,Villarreal
Eric Bailly,ci CIV,DF,29,10,9,839.0,0.0,0.0,0.0,4.0,0.0,0.2,0.0,Villarreal
José Luis Morales,es ESP,"FW,MF",36,29,8,1048.0,7.0,0.0,0.0,0.0,0.0,5.6,0.6,Villarreal
Yeremi Pino,es ESP,"MF,FW",20,7,7,475.0,0.0,0.0,0.0,4.0,0.0,1.4,0.2,Villarreal
Ramón Terrats,es ESP,"MF,DF",22,19,6,785.0,0.0,2.0,0.0,4.0,0.0,0.4,1.6,Villarreal
Bertrand Traoré,bf BFA,MF,27,11,6,568.0,1.0,0.0,0.0,4.0,0.0,0.9,0.4,Villarreal
Matteo Gabbia,it ITA,DF,23,7,6,477.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,Villarreal
Manu Trigueros,es ESP,MF,31,14,2,309.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,Villarreal
Ben Brereton,cl CHI,"FW,MF",24,14,2,270.0,0.0,0.0,0.0,2.0,0.0,0.2,0.3,Villarreal
Carlos Romero,es ESP,DF,21,7,2,262.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,Villarreal
Pepe Reina,es ESP,GK,40,2,2,180.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Villarreal
Denis Suárez,es ESP,"MF,FW",29,4,1,133.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,Villarreal
Stefan Lekovic,rs SRB,DF,19,1,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Villarreal
Pascu,es ESP,FW,20,1,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Villarreal
Iker Álvarez,ad AND,GK,22,0,0,,,,,,,,,Villarreal
Daniel Budesca,es ESP,DF,17,0,0,,,,,,,,,Villarreal
Abraham Rando,es ESP,DF,22,0,0,,,,,,,,,Villarreal
Squad Total,,,,38,418,3420.0,64.0,47.0,5.0,110.0,8.0,55.6,40.5,Villarreal
José Luis García Vayá,es ESP,MF,24,37,37,3302.0,7.0,1.0,7.0,4.0,0.0,7.3,3.2,Valencia
Giorgi Mamardashvili,ge GEO,GK,22,37,37,3284.0,0.0,0.0,0.0,3.0,1.0,0.0,0.4,Valencia
Hugo Duro,es ESP,FW,23,37,35,2976.0,13.0,2.0,0.0,4.0,0.0,11.5,1.3,Valencia
Cristhian Mosquera,es ESP,DF,19,36,33,3075.0,0.0,0.0,0.0,2.0,0.0,0.7,0.0,Valencia
Diego López,es ESP,"MF,FW",21,36,30,2656.0,3.0,6.0,0.0,2.0,0.0,3.7,5.4,Valencia
Javier Guerra,es ESP,MF,20,36,28,2498.0,4.0,1.0,0.0,3.0,1.0,2.7,0.9,Valencia
Francisco Perez,es ESP,"MF,FW",20,32,27,2049.0,1.0,4.0,0.0,4.0,0.0,1.1,2.6,Valencia
Thierry Correia,pt POR,DF,24,31,25,2154.0,0.0,2.0,0.0,4.0,1.0,0.6,2.1,Valencia
José Luis Gayà,es ESP,DF,28,24,22,1791.0,1.0,2.0,0.0,2.0,0.0,0.5,2.6,Valencia
Dimitri Foulquier,fr FRA,"DF,MF",30,33,19,1842.0,0.0,0.0,0.0,3.0,0.0,0.6,1.2,Valencia
